country,year,gdp_pc,population,internet_users,mobile_subs,secure_servers,rule_law,gov_effect,reg_quality,tfp,hc,capital_stock,pat_res,pat_nres,ip_receipts,ai_proxy_total,electricity_access,AI_index,ln_gdp,ln_ai,ln_tfp,ln_hc,digital_infra_index,innovation_index
Argentina,2010,9073.78709685819,631192915,21.4695607242642,93.19096962294243,65.55583870857896,0.29500062726599907,-0.7671060806631992,0.702760241045818,0.8384143573142838,1.393191877916592,29610.75074231333,346.26547057676163,38.68948245899113,61.57928313307863,788.3221145395332,58.151376364547396,-0.24288884510483827,9.113144996961895,-0.23784849785355164,-0.17624284090277204,0.33159742968837463,0.06388530620016653,0.11660261337843081
Argentina,2011,8999.353392308329,318906971,38.32309185553349,87.48166096546117,63.25465223191976,-0.4097941832572299,-0.6510181825983022,0.49278353806039654,0.9793304405396847,1.4024698667403692,21408.946220857528,137.06409032085006,38.868023615982125,63.21034287825532,1068.4111421268626,61.86052542345125,-0.03946743415004145,9.104908008438285,0.06617263099642742,-0.020886164760455225,0.3382348727937889,0.21201673396370335,-0.22059748489027398
Argentina,2012,9950.919474967728,1165998708,29.344902927113058,87.4824198460008,62.33371618281456,0.05406325559111317,0.23129551895198733,0.5050305806708323,0.9024042811439946,1.4672388960971992,33935.92674842704,56.00982404728464,32.09361910360324,8.28679536507991,1087.984872608609,62.80328783642699,0.24727352497626856,9.205420235427635,0.08432724448471007,-0.10269265407407024,0.3833823325947854,0.10612266754502331,-0.7444262604753153
Argentina,2013,9254.329097113725,280671574,48.68278354591481,60.75695342576293,58.302299400284504,0.6346777881599402,-0.27898005779875007,-0.36988143413165375,0.9326793786820763,1.5157842272734645,22480.332557164245,421.3320469553527,164.48658404955822,52.174574098830185,1231.5628948531278,67.08695675118385,-0.05146532568931633,9.132846731522497,0.20828400901865662,-0.06969378276565696,0.4159329467957139,0.18275578578607354,0.5983391857496498
Argentina,2014,8852.150723172375,450380809,48.904853540677685,81.59121030495199,73.17079382153429,-0.2904430772520574,-0.3053903151986633,-0.9566717164712317,0.9251992742335454,1.4858686188665218,25881.515161918094,262.79880952878176,28.878299468380515,6.720862541934418,1102.1042149831972,67.30597659797276,0.13994899603080083,9.088415728045003,0.09722127520963125,-0.07774613306793465,0.39599952978029496,0.37115592997728064,-0.4209352356111993
Argentina,2015,10352.81843566872,234595114,40.76701687955846,88.80422683640401,41.2533113208394,0.3198193813787493,-0.7243832442880487,-0.3025300432315118,1.0327081702742118,1.5083951344008852,40773.051004977715,15.14773977847119,50.355979845211586,112.59392823505586,1499.0886602307933,71.43736028938574,0.37531171826992615,9.245014074248159,0.4048573636227532,0.03218464322992849,0.41104626072786565,0.09800654150792898,-0.056274312651470315
Argentina,2016,9895.3200373965,28314064,56.40308137457396,66.09019365211478,88.68847287091715,-0.42359416725104193,0.18614096908376318,0.017481716418754303,0.9873966508830666,1.4514804648702366,31350.31274596258,193.49987603475182,41.38390760204702,34.22414676574807,1821.8667341972234,75.60644372526976,0.49815173080046427,9.199817200858401,0.599861653570633,-0.012683445017424431,0.3725840458113646,0.49333319685185884,-0.31139286949693645
Argentina,2017,10533.970768180108,1062168822,54.56871059149509,115.94954336829343,61.22473891354298,-1.101348918045047,0.5081207574515235,-0.17777815767901872,1.0553739323376239,1.5712324866207588,41262.81100007043,161.55983190675823,148.80727897906235,17.63974430554388,1346.7025397156222,70.84420918792458,0.5481924151272163,9.262360625042342,0.2976590413528427,0.053895142364351535,0.45186033471589515,0.49760703003034323,-0.1171110548549027
Argentina,2018,12836.32146347717,399097983,44.10461879968136,64.01930578903037,95.35422924687671,0.852784184630115,0.1256388539562757,-0.12690786963095066,1.1233999504979326,1.6627960974837428,39896.21500865918,150.7020102381255,47.23009380049046,30.649696803595113,1849.770004310436,67.25317055295643,0.7393841393500536,9.460034045814345,0.6150613093672548,0.11635975705168713,0.508500581438902,0.3924932890965973,-0.38706502491085526
Argentina,2019,12799.404789461012,31235299,52.00704401460848,80.22584350374463,75.69766475535256,0.670791362989076,-0.7223417424696211,0.7452584102993953,1.0924964194346807,1.544952156344429,33045.95992058258,88.67165863764231,74.9851050712077,94.98776908327817,1657.1461863553882,85.4336210234191,0.7999188113694667,9.457153948003153,0.5050969580625495,0.0884653705769109,0.4349929431028687,0.41678149090804717,0.030988241855284038
